student_id,sub_sample_group,life_direction_meaning,college_work_resilience,campus_seen_supported,emotionally_steady,hopeful_future,clear_values,life_depth_moments,cheerful_spirits,college_growth,academic_wellbeing,biggest_challenge,school_time_energy,faculty_staff_support,people_to_turn_to,know_support_resources,focus_place,enough_sleep,parent_caregiver_support,enjoyable_company,feels_alone,phone_social_media_interference,physical_activity,alcohol_cannabis_social_coping,money_stress,study_hours_outside_class,life_priority,age_group,college_stage,gender,race_ethnicity,parent_four_year_college,college_goal,major_field,major_confidence,spring_credits,class_modality,paid_work_hours,wellbeing_index
S089,D,N,N,A,D,A,A,A,N,N,N,Teaching,,SD,A,A,A,A,A,O,O,S,S,VO,Prefer not,20 or more hours,Friends/relations,18 or 19,First year,Woman,South Asian,Not sure,Associate,Health professions,Unsure,9 to 11 credits,All/mostly in-person,0 hours,3.38
S090,B,D,SD,N,D,D,SA,N,SD,D,SD,Work,SD,N,A,A,D,SD,D,S,R,R,O,R,Ext,11 to 19 hours,Money,18 or 19,First year,Man,East Asian,No,Transfer,Business,Some conf.,15 or more credits,All/mostly in-person,30 or more hours,2.38
S091,D,A,N,N,N,A,A,A,D,A,A,Motivation,N,N,SA,D,D,D,A,O,S,O,R,O,Very,5 to 10 hours,School,20 or 21,First year,Man,White,Yes,Transfer,Social sciences,Some conf.,15 or more credits,Equal,0 hours,3.38
S092,B,SA,SA,SA,A,SA,A,A,N,SA,SA,Motivation,A,SA,SA,SA,SA,D,SA,S,O,VO,S,Nvr,Ext,5 to 10 hours,Mental well-being,26 or older,Second year,Man,East Asian,No,Transfer,Social sciences,Some conf.,9 to 11 credits,All/mostly in-person,10 to 19 hours,4.38
S093,B,D,N,SA,D,N,A,A,D,A,D,Motivation,D,SA,A,D,N,D,A,O,S,VO,O,Nvr,Slight,under 5 hours,School,18 or 19,First year,Man,Multiracial,Yes,Transfer,Social sciences,Low conf.,15 or more credits,More in-person,0 hours,3.12
S094,C,SD,SD,SD,D,SD,SD,A,D,D,SD,Mental stress,N,SD,A,SD,A,SD,A,O,VO,VO,R,S,Slight,5 to 10 hours,Future,18 or 19,First year,Woman,East Asian,Yes,Undecided,Health professions,Low conf.,6 to 8 credits,Equal,20 to 29 hours,1.62
S095,D,A,A,SA,A,SA,A,SA,A,SA,N,Motivation,N,SA,A,SA,A,A,SA,VO,S,O,S,O,No stress,5 to 10 hours,Enjoy life,22 to 25,Third+,Woman,White,Not sure,Transfer,Arts/creative,Unsure,6 to 8 credits,All/mostly online,0 hours,4.38
S096,B,D,N,A,D,D,N,A,N,A,D,Motivation,N,A,A,A,A,D,A,S,O,S,R,Nvr,Slight,5 to 10 hours,School,18 or 19,First year,Woman,South Asian,Yes,Transfer,Health professions,Some conf.,15 or more credits,More in-person,1 to 9 hours,2.88
S097,B,D,N,A,N,N,A,A,N,A,N,Mental stress,N,A,A,SA,A,N,SA,O,S,S,R,R,Mod,under 5 hours,Mental well-being,20 or 21,Third+,Woman,East Asian,No,Transfer,Business,Some conf.,9 to 11 credits,All/mostly online,10 to 19 hours,3.25
S098,C,D,A,D,A,N,SA,N,N,N,A,Motivation,SA,D,SA,D,SD,A,N,S,S,S,O,R,Mod,5 to 10 hours,Future,18 or 19,First year,Man,East Asian,Yes,Transfer,Business,Some conf.,15 or more credits,More in-person,10 to 19 hours,3.25
S099,D,SA,A,A,A,SA,SA,A,A,SA,SA,Mental stress,A,N,A,N,A,N,D,VO,R,S,S,Nvr,Slight,5 to 10 hours,School,20 or 21,Third+,Woman,Latino/Hispanic,No,Associate,STEM,Very conf.,12 to 14 credits,All/mostly in-person,10 to 19 hours,4.38
S100,C,A,D,A,A,A,A,N,A,A,A,Not prepared,A,A,A,A,A,D,A,O,R,O,R,Nvr,Slight,under 5 hours,Money,20 or 21,Third+,Man,MENA,No,Transfer,STEM,Some conf.,9 to 11 credits,All/mostly in-person,20 to 29 hours,3.62
S101,D,A,A,SA,N,N,A,A,D,A,A,Mental stress,A,N,N,D,SA,SA,SA,O,S,S,O,Nvr,Very,20 or more hours,Money,18 or 19,Second year,Man,East Asian,Yes,Transfer,STEM,Unsure,15 or more credits,Equal,0 hours,3.62
S102,C,SA,N,SA,A,SA,SA,SA,SA,SA,A,Motivation,A,A,SA,SA,A,N,SA,VO,R,VO,O,Nvr,Mod,under 5 hours,Friends/relations,20 or 21,Third+,Man,Latino/Hispanic,No,Transfer,STEM,Very conf.,12 to 14 credits,More in-person,10 to 19 hours,4.62
S103,B,A,A,A,N,A,A,A,A,A,A,Motivation,A,A,A,A,A,N,SA,O,R,S,O,Nvr,Slight,5 to 10 hours,Friends/relations,20 or 21,Second year,Woman,East Asian,Yes,Transfer,STEM,Some conf.,15 or more credits,All/mostly in-person,1 to 9 hours,3.88
S104,D,N,N,A,N,N,A,N,D,A,N,Low energy,A,A,N,N,A,D,A,R,O,Nvr,O,Prefer not,Very,5 to 10 hours,Other,26 or older,Third+,Man,White,Yes,Undecided,Undecided,Unsure,6 to 8 credits,All/mostly in-person,30 or more hours,3.12
S105,D,A,A,N,A,N,A,A,N,A,A,Family/care,N,A,A,A,A,N,A,S,S,S,S,Nvr,Slight,11 to 19 hours,Family,26 or older,First year,Woman,East Asian,No,Associate,Health professions,Some conf.,9 to 11 credits,All/mostly in-person,0 hours,3.62
S106,A,A,A,SA,A,A,A,A,N,SA,A,Low energy,A,A,SA,SA,SA,A,SA,O,R,R,O,R,Prefer not,5 to 10 hours,Mental well-being,20 or 21,First year,Woman,White,Yes,Transfer,STEM,Some conf.,12 to 14 credits,All/mostly in-person,0 hours,4.0
S107,B,A,A,A,A,A,A,A,N,A,N,Low energy,N,A,A,A,N,N,N,O,R,R,S,Nvr,Mod,11 to 19 hours,Money,18 or 19,First year,Woman,East Asian,No,Transfer,Social sciences,Very conf.,15 or more credits,Equal,10 to 19 hours,3.88
S108,D,N,A,A,D,A,SA,SA,D,N,A,Mental stress,A,A,A,SA,A,N,SA,S,S,O,R,Nvr,Prefer not,5 to 10 hours,School,20 or 21,Second year,Woman,South Asian,Not sure,Transfer,Social sciences,Some conf.,15 or more credits,More online,0 hours,3.62
S109,A,SA,A,A,A,A,A,A,N,A,A,Motivation,A,SA,A,A,D,A,N,S,R,O,R,Nvr,Mod,under 5 hours,Enjoy life,20 or 21,Second year,Woman,East Asian,Yes,Transfer,Social sciences,Some conf.,1 to 5 credits,All/mostly in-person,1 to 9 hours,4.0
S110,B,A,A,A,SA,A,A,SA,N,A,SA,Motivation,A,SA,SA,SA,SA,SA,SA,O,R,VO,VO,S,Mod,11 to 19 hours,School,18 or 19,Second year,Man,East Asian,Yes,Transfer,Business,Some conf.,12 to 14 credits,All/mostly in-person,10 to 19 hours,4.12
S111,B,A,N,A,N,SA,SA,A,A,SA,A,Mental stress,A,SA,SA,SA,A,D,SD,VO,R,R,O,Nvr,Mod,20 or more hours,Family,26 or older,Second year,Woman,Black/African Am.,No,Transfer,Social sciences,Very conf.,15 or more credits,All/mostly online,0 hours,4.0
S112,B,SA,SA,SA,SA,SA,SA,SA,SA,SA,SA,Nothing,SA,SA,SA,SA,SA,SA,SA,VO,Nvr,Nvr,VO,Nvr,Mod,20 or more hours,School,26 or older,Third+,Man,White,No,Transfer,Business,Very conf.,15 or more credits,All/mostly online,10 to 19 hours,5.0
S113,A,A,A,N,A,A,A,SA,N,N,A,Mental stress,A,N,A,N,A,SA,SA,O,R,S,O,Nvr,Mod,11 to 19 hours,School,18 or 19,First year,Man,East Asian,Yes,Transfer,Business,Some conf.,15 or more credits,More in-person,0 hours,3.88
S114,B,N,D,A,N,N,D,N,D,N,D,Mental stress,D,SD,A,A,N,N,A,VO,S,S,S,Nvr,Slight,5 to 10 hours,Mental well-being,18 or 19,First year,Woman,White,Not sure,Associate,Arts/creative,Very conf.,6 to 8 credits,All/mostly in-person,0 hours,2.75
S115,C,A,N,A,N,A,A,A,N,A,A,Motivation,N,A,N,A,N,D,D,S,R,R,S,R,Mod,5 to 10 hours,Money,22 to 25,First year,Man,Latino/Hispanic,No,Associate,Undecided,Unsure,9 to 11 credits,All/mostly in-person,10 to 19 hours,3.62
S116,B,A,A,N,A,A,A,N,A,SA,SA,Family/care,A,A,A,A,A,D,SA,O,S,O,S,Nvr,Slight,11 to 19 hours,School,26 or older,Third+,Man,East Asian,No,Transfer,Health professions,Some conf.,9 to 11 credits,More online,10 to 19 hours,3.75
S117,C,A,SA,SA,A,SA,A,SA,A,SA,A,Nothing,A,SA,SA,SA,SA,A,SA,O,Nvr,S,VO,Nvr,No stress,11 to 19 hours,School,18 or 19,First year,Man,White,Yes,Transfer,Business,Some conf.,15 or more credits,All/mostly in-person,0 hours,4.5
S118,B,A,A,A,N,SA,N,SA,SA,SA,A,Motivation,A,SA,SA,A,A,A,SA,O,S,VO,S,Nvr,No stress,5 to 10 hours,Future,18 or 19,First year,Woman,Latino/Hispanic,Yes,Transfer,Social sciences,Unsure,15 or more credits,Equal,0 hours,4.12
S119,C,SA,SA,SA,SA,SA,SA,A,SA,SA,SA,Work,A,SA,SA,SA,SA,N,SA,VO,S,Nvr,O,R,No stress,,Money,26 or older,First year,Woman,Latino/Hispanic,No,Transfer,Humanities,Very conf.,15 or more credits,All/mostly online,30 or more hours,4.88
S120,D,A,A,N,N,SA,SA,D,D,N,A,Mental stress,SA,N,D,N,SA,N,D,R,O,VO,R,Nvr,Prefer not,5 to 10 hours,School,18 or 19,Second year,Woman,Multiracial,Yes,Transfer,Social sciences,Very conf.,12 to 14 credits,Equal,0 hours,3.5
S121,B,A,A,A,A,SA,A,A,A,A,A,Teaching,A,A,SA,SA,SA,A,SA,VO,Nvr,S,O,Nvr,Slight,5 to 10 hours,Future,18 or 19,First year,Woman,Latino/Hispanic,No,Associate,Business,Very conf.,12 to 14 credits,Equal,1 to 9 hours,4.12
S122,D,SA,A,N,A,A,SA,SA,SA,SA,D,Mental stress,D,SD,N,A,A,SD,N,VO,O,VO,VO,Nvr,No stress,11 to 19 hours,School,20 or 21,Third+,Woman,Latino/Hispanic,No,Transfer,Health professions,Very conf.,15 or more credits,More online,20 to 29 hours,4.38
S123,D,N,A,N,A,N,SA,A,A,A,A,Mental stress,N,D,A,A,N,D,SA,O,R,S,O,Nvr,Very,20 or more hours,Future,18 or 19,First year,Woman,South Asian,No,Associate,Health professions,Some conf.,15 or more credits,Equal,10 to 19 hours,3.75
S124,C,SA,A,SA,SA,SA,A,A,SA,SA,A,Family/care,A,A,A,A,A,SA,SA,VO,Nvr,S,O,Nvr,Mod,5 to 10 hours,School,26 or older,Third+,Man,East Asian,No,Transfer,Health professions,Some conf.,12 to 14 credits,All/mostly in-person,10 to 19 hours,4.62
S125,A,A,A,N,A,N,SA,A,N,A,A,Not prepared,A,N,SA,A,N,SD,SA,VO,R,Nvr,S,O,Slight,5 to 10 hours,School,18 or 19,First year,Man,Latino/Hispanic,No,Associate,STEM,Some conf.,12 to 14 credits,All/mostly in-person,0 hours,3.75
S126,C,N,A,A,D,D,N,A,D,N,SA,Mental stress,SA,N,N,N,A,N,D,S,S,S,R,R,Slight,11 to 19 hours,Future,22 to 25,Second year,Man,Multiracial,Yes,Transfer,STEM,Very conf.,9 to 11 credits,More online,0 hours,3.0
S127,D,A,A,A,D,D,A,A,D,A,A,Work,D,A,D,A,D,N,D,S,O,S,O,O,Ext,11 to 19 hours,Money,26 or older,Third+,Woman,White,No,Associate,Arts/creative,Very conf.,12 to 14 credits,All/mostly in-person,1 to 9 hours,3.25
S128,A,SA,D,D,D,A,A,A,D,A,A,Mental stress,D,D,N,D,D,D,A,S,S,VO,R,R,Ext,5 to 10 hours,Future,22 to 25,Third+,Man,Latino/Hispanic,No,Transfer,Arts/creative,Some conf.,15 or more credits,All/mostly online,20 to 29 hours,3.12
S129,D,D,D,A,N,A,A,A,N,A,A,Motivation,N,A,A,A,A,D,A,S,R,O,R,Nvr,Slight,under 5 hours,Mental well-being,20 or 21,Third+,Man,White,Yes,Transfer,Humanities,Not conf.,6 to 8 credits,All/mostly in-person,0 hours,3.25
S130,C,N,A,A,A,N,A,A,N,A,N,Work,A,A,A,A,A,N,,S,S,S,S,R,Ext,11 to 19 hours,Money,26 or older,Third+,Woman,White,Not sure,Transfer,Arts/creative,Low conf.,12 to 14 credits,More in-person,10 to 19 hours,3.62
S131,C,SA,A,SA,SA,SA,SA,A,SA,A,N,Not prepared,A,SA,SA,SA,SA,SA,SD,O,Nvr,Nvr,O,Nvr,Mod,20 or more hours,School,18 or 19,First year,Man,Latino/Hispanic,No,Transfer,Social sciences,Unsure,12 to 14 credits,More in-person,0 hours,4.75
S132,D,N,N,A,N,N,A,N,N,N,N,Low energy,N,A,A,N,A,N,N,S,S,R,S,Nvr,Prefer not,5 to 10 hours,School,20 or 21,Third+,Woman,Prefer not,Prefer not,Transfer,Arts/creative,Some conf.,6 to 8 credits,More in-person,1 to 9 hours,3.25
S133,A,SA,A,A,A,SA,SA,SA,A,A,A,Family/care,A,N,SA,SA,A,N,A,VO,S,O,R,Nvr,Very,11 to 19 hours,Money,18 or 19,First year,Woman,Latino/Hispanic,Not sure,Associate,Humanities,Very conf.,12 to 14 credits,More online,0 hours,4.5
S134,B,D,D,N,D,N,A,N,N,N,N,Not prepared,D,N,N,N,D,D,N,S,S,S,S,Nvr,Slight,under 5 hours,Money,26 or older,Prefer not,Woman,Latino/Hispanic,No,Associate,Social sciences,Some conf.,12 to 14 credits,Equal,20 to 29 hours,2.75
S135,A,N,N,A,D,N,A,N,D,A,N,Not prepared,N,N,A,A,SA,N,SA,S,O,S,R,Nvr,Very,5 to 10 hours,School,18 or 19,Prefer not,Prefer not,Prefer not,Yes,Transfer,Humanities,Some conf.,12 to 14 credits,More in-person,0 hours,3.0
S136,B,A,A,A,SA,A,SA,N,A,N,A,Family/care,N,N,A,N,A,A,,O,S,S,O,Nvr,No stress,5 to 10 hours,Enjoy life,26 or older,Prefer not,Woman,East Asian,Yes,Associate,Arts/creative,Unsure,9 to 11 credits,All/mostly in-person,0 hours,4.12
S137,C,A,SA,SD,A,SA,SA,A,SD,N,A,Family/care,SD,D,N,D,A,D,A,O,S,R,R,S,Mod,5 to 10 hours,Future,22 to 25,Third+,Man,Pacific Islander,No,Undecided,Arts/creative,Unsure,15 or more credits,Equal,30 or more hours,3.62
S138,D,A,N,SA,N,A,A,A,N,A,A,Mental stress,N,SA,A,SA,A,SD,SA,O,S,S,O,S,Mod,5 to 10 hours,School,18 or 19,Second year,Woman,Latino/Hispanic,Yes,Transfer,Arts/creative,Very conf.,6 to 8 credits,All/mostly in-person,1 to 9 hours,3.75
S139,B,A,D,A,D,N,SA,D,N,SA,A,Mental stress,N,SA,A,SA,SD,SD,N,VO,S,VO,S,VO,Ext,5 to 10 hours,School,20 or 21,Third+,Woman,East Asian,No,Associate,Social sciences,Unsure,12 to 14 credits,All/mostly online,1 to 9 hours,3.12
S140,D,A,D,A,A,A,A,A,A,A,A,Work,A,A,A,A,A,A,A,R,R,R,R,Nvr,Very,20 or more hours,Future,18 or 19,Second year,Woman,South Asian,No,Transfer,STEM,Unsure,15 or more credits,More in-person,1 to 9 hours,3.75
S141,C,A,SA,A,SA,N,A,A,A,A,SA,Family/care,A,A,A,A,A,D,SA,O,Nvr,R,S,Nvr,Slight,5 to 10 hours,Future,20 or 21,Second year,Woman,East Asian,No,Transfer,Business,Some conf.,9 to 11 credits,All/mostly in-person,0 hours,4.12
S142,D,A,A,N,A,SA,A,SA,A,A,N,Work,D,A,A,N,A,SD,N,O,R,S,O,Nvr,Ext,5 to 10 hours,Money,20 or 21,Second year,Woman,East Asian,No,Transfer,Business,Unsure,15 or more credits,All/mostly in-person,20 to 29 hours,4.12
S143,A,A,SA,A,D,A,A,A,D,D,D,Mental stress,A,A,A,A,A,A,SA,O,O,S,VO,VO,No stress,under 5 hours,Mental well-being,20 or 21,Third+,Man,MENA,No,Transfer,Business,Low conf.,12 to 14 credits,More online,30 or more hours,3.62
S144,A,SA,SA,A,SA,SA,SA,SA,SA,A,SA,Teaching,A,A,A,A,A,A,SA,O,R,O,O,R,No stress,under 5 hours,School,22 to 25,Second year,Man,East Asian,No,Transfer,STEM,Some conf.,9 to 11 credits,All/mostly in-person,0 hours,4.88
S145,A,A,A,A,A,A,A,A,A,A,SA,Motivation,A,A,SA,A,SA,D,SA,VO,Nvr,VO,S,Nvr,No stress,11 to 19 hours,School,18 or 19,First year,Woman,East Asian,Yes,Transfer,STEM,Some conf.,15 or more credits,Equal,1 to 9 hours,4.0
S146,C,A,A,N,A,A,A,A,N,N,N,Not prepared,D,A,A,N,A,SD,N,S,S,VO,VO,S,Very,20 or more hours,Money,20 or 21,Second year,Man,East Asian,Yes,Transfer,STEM,Some conf.,15 or more credits,More in-person,20 to 29 hours,3.75
S147,D,A,N,A,A,N,A,A,D,A,A,Mental stress,A,SA,SA,A,A,D,,VO,S,O,O,Nvr,Mod,11 to 19 hours,School,18 or 19,Second year,Woman,South Asian,Yes,Transfer,STEM,Some conf.,15 or more credits,Equal,20 to 29 hours,3.5
S148,C,N,A,A,N,A,A,A,D,A,SA,Mental stress,A,A,A,A,A,A,A,VO,S,S,S,R,Slight,11 to 19 hours,Future,18 or 19,Second year,Woman,MENA,Yes,Transfer,Social sciences,Low conf.,15 or more credits,More in-person,10 to 19 hours,3.5
S149,C,D,A,N,A,SA,A,N,A,A,A,Motivation,A,N,SA,N,A,N,SA,O,R,O,O,R,Slight,5 to 10 hours,Enjoy life,20 or 21,Second year,Woman,Multiracial,Yes,Transfer,Social sciences,Very conf.,9 to 11 credits,More in-person,10 to 19 hours,3.62
S150,A,A,A,N,A,A,A,N,N,A,A,Mental stress,A,A,SA,SD,A,N,SA,VO,R,VO,R,Nvr,No stress,5 to 10 hours,School,20 or 21,Second year,Woman,White,Yes,Associate,Business,Very conf.,15 or more credits,More online,0 hours,3.62
S151,B,A,A,SA,SA,A,A,SA,N,A,N,Mental stress,A,A,SA,A,A,A,SA,VO,R,S,VO,Nvr,Mod,11 to 19 hours,Enjoy life,20 or 21,Second year,Man,South Asian,Yes,Transfer,Arts/creative,Some conf.,6 to 8 credits,Equal,0 hours,4.25
S152,A,A,N,A,D,N,N,N,N,A,A,Teaching,N,A,A,A,A,D,A,S,O,S,S,O,Very,under 5 hours,Mental well-being,22 to 25,Prefer not,Woman,Multiracial,Yes,Certificate,Humanities,Some conf.,1 to 5 credits,All/mostly in-person,10 to 19 hours,3.12
S153,A,N,N,N,N,N,N,A,N,A,D,Other,N,N,N,D,N,D,N,VO,O,S,O,O,Slight,11 to 19 hours,Friends/relations,18 or 19,Second year,Man,East Asian,No,Transfer,Health professions,Some conf.,12 to 14 credits,More in-person,30 or more hours,3.12
S154,C,A,A,SA,SA,A,A,SA,A,SA,SA,Motivation,SA,SA,SA,N,SA,A,SA,S,S,VO,VO,R,Slight,5 to 10 hours,Future,20 or 21,Second year,Woman,East Asian,Yes,Transfer,Business,Some conf.,15 or more credits,All/mostly in-person,20 to 29 hours,4.38
S155,B,A,A,N,A,A,A,SA,N,A,A,Motivation,A,SA,D,A,A,SA,SA,R,S,O,VO,Nvr,Mod,11 to 19 hours,School,18 or 19,Second year,Man,Latino/Hispanic,No,Transfer,STEM,Very conf.,12 to 14 credits,All/mostly in-person,0 hours,3.88
S156,B,A,A,N,N,N,A,SA,A,A,A,Motivation,D,N,N,N,A,D,D,S,R,Nvr,O,Nvr,Ext,under 5 hours,Money,22 to 25,Third+,Man,South Asian,No,Associate,STEM,Some conf.,9 to 11 credits,More in-person,1 to 9 hours,3.75
S157,B,D,D,N,N,D,N,N,N,D,D,Motivation,D,D,D,A,A,D,N,R,VO,S,S,Nvr,Slight,under 5 hours,Mental well-being,20 or 21,First year,Prefer not,Multiracial,Yes,Undecided,Humanities,Unsure,9 to 11 credits,All/mostly online,0 hours,2.62
S158,A,A,A,N,A,A,A,A,A,N,A,Motivation,A,N,SA,D,SA,D,SA,O,R,VO,S,Nvr,No stress,11 to 19 hours,Enjoy life,20 or 21,Second year,Man,East Asian,Yes,Transfer,STEM,Unsure,12 to 14 credits,More in-person,0 hours,3.88
S159,C,N,A,N,N,N,N,N,N,N,N,Motivation,N,N,A,N,A,D,N,O,S,S,S,S,Very,5 to 10 hours,Friends/relations,18 or 19,Second year,Man,East Asian,Yes,Transfer,STEM,Some conf.,12 to 14 credits,All/mostly in-person,20 to 29 hours,3.12
S160,A,D,N,N,N,D,N,A,N,N,A,Motivation,A,N,A,A,A,D,SA,S,S,O,R,O,Mod,under 5 hours,Enjoy life,22 to 25,Third+,Man,Multiracial,Yes,Associate,Undecided,Not conf.,6 to 8 credits,Equal,0 hours,2.88
S161,B,SA,A,D,SA,SA,SA,A,A,D,N,Work,N,SD,SA,D,A,A,SA,O,R,S,VO,R,Ext,under 5 hours,Money,20 or 21,Third+,Man,Latino/Hispanic,Yes,Transfer,Business,Very conf.,15 or more credits,Equal,30 or more hours,4.25
S162,B,N,D,N,D,N,A,A,D,D,D,Motivation,SD,D,A,N,N,SD,A,S,VO,VO,S,O,Ext,5 to 10 hours,Money,20 or 21,Third+,Woman,Prefer not,No,Associate,Career/tech,Very conf.,9 to 11 credits,All/mostly in-person,20 to 29 hours,2.88
S163,D,A,A,A,A,A,A,N,A,A,A,Work,D,A,A,A,A,SD,D,S,O,S,O,Nvr,Ext,5 to 10 hours,Money,22 to 25,Second year,Woman,White,No,Transfer,Career/tech,Very conf.,12 to 14 credits,More in-person,20 to 29 hours,3.88
S164,A,A,A,N,A,A,A,A,A,A,A,Motivation,A,A,D,A,SA,D,A,S,O,S,VO,Nvr,Mod,5 to 10 hours,School,18 or 19,First year,Woman,East Asian,No,Associate,Health professions,Unsure,12 to 14 credits,More in-person,1 to 9 hours,3.88
S165,D,A,A,A,A,A,A,A,A,A,A,Mental stress,A,A,SA,A,A,N,SA,VO,R,VO,O,S,Mod,5 to 10 hours,Enjoy life,22 to 25,Third+,Man,East Asian,Yes,Transfer,STEM,Some conf.,12 to 14 credits,All/mostly in-person,10 to 19 hours,4.0
S166,C,A,A,A,A,A,A,SA,A,SA,N,Teaching,A,A,SA,N,A,N,,O,R,S,VO,Nvr,Slight,under 5 hours,Future,18 or 19,First year,Man,Latino/Hispanic,No,Transfer,Health professions,Unsure,15 or more credits,All/mostly in-person,0 hours,4.12
S167,D,A,A,N,A,SA,SA,SA,D,D,SA,Motivation,A,SA,SA,N,D,A,A,VO,S,O,O,Nvr,Ext,5 to 10 hours,School,20 or 21,Second year,Woman,MENA,No,Transfer,STEM,Some conf.,12 to 14 credits,More online,10 to 19 hours,4.0
S168,A,SA,SA,A,SA,SA,SA,A,A,SA,SA,Work,A,SA,N,A,SA,D,SD,VO,R,R,O,R,Slight,11 to 19 hours,Enjoy life,20 or 21,Third+,Man,East Asian,Yes,Transfer,STEM,Very conf.,15 or more credits,All/mostly in-person,20 to 29 hours,4.62
S169,B,A,A,SA,A,SA,A,A,N,SA,SA,Nothing,SA,A,SA,A,SA,A,A,O,R,S,O,Nvr,Slight,5 to 10 hours,Future,26 or older,First year,Woman,Latino/Hispanic,Not sure,Associate,Arts/creative,Some conf.,12 to 14 credits,More in-person,0 hours,4.12
S170,A,A,A,D,D,D,A,A,SD,A,A,Family/care,A,D,A,D,A,A,SD,S,VO,R,S,R,Ext,5 to 10 hours,Enjoy life,26 or older,Third+,Woman,Prefer not,Yes,Transfer,Social sciences,Very conf.,6 to 8 credits,More in-person,0 hours,2.88
S171,A,A,SA,A,N,SA,SA,SA,SA,SA,SA,Work,SA,A,SA,SA,A,SD,SA,VO,Nvr,R,S,R,No stress,5 to 10 hours,School,22 to 25,Third+,Man,Native/Indigenous,Yes,Associate,Arts/creative,Not conf.,9 to 11 credits,More in-person,20 to 29 hours,4.5
S172,A,N,N,N,N,N,A,A,N,N,N,Mental stress,SD,N,D,N,A,D,N,R,R,S,S,Nvr,No stress,20 or more hours,Money,20 or 21,Third+,Man,Latino/Hispanic,No,Transfer,STEM,Unsure,12 to 14 credits,More online,0 hours,3.25
S173,A,A,SA,N,SA,SA,SA,SA,A,N,SA,Nothing,A,A,SA,N,SA,SA,,O,Nvr,Nvr,O,Nvr,No stress,20 or more hours,Mental well-being,20 or 21,Third+,Man,MENA,Yes,Transfer,STEM,Very conf.,15 or more credits,Equal,0 hours,4.5
S174,A,N,A,A,N,A,A,N,N,A,D,Motivation,A,N,SA,D,SD,N,A,VO,R,VO,R,Nvr,Very,5 to 10 hours,School,20 or 21,Second year,Woman,Latino/Hispanic,Not sure,Transfer,Health professions,Very conf.,15 or more credits,All/mostly in-person,0 hours,3.5
S175,C,A,A,SA,A,SA,SA,A,SA,SA,A,Nothing,A,A,N,A,A,D,SA,S,VO,O,S,Nvr,Prefer not,20 or more hours,School,22 to 25,Second year,Woman,Prefer not,No,Transfer,Prefer not,Very conf.,15 or more credits,More in-person,0 hours,4.5
S176,D,SA,SA,SA,A,SA,SA,SA,A,SA,SA,Motivation,A,N,SA,N,SA,SD,SD,VO,S,VO,VO,O,Ext,5 to 10 hours,Money,18 or 19,First year,Man,White,No,Transfer,Social sciences,Very conf.,15 or more credits,Equal,30 or more hours,4.75
S177,D,A,N,SA,A,SA,SA,SA,A,SA,SA,Motivation,N,SA,SA,A,A,SD,A,O,S,VO,R,S,Ext,under 5 hours,Money,20 or 21,Second year,Woman,Latino/Hispanic,No,Transfer,Undecided,Unsure,15 or more credits,All/mostly in-person,0 hours,4.38
S178,D,A,A,N,A,A,A,A,N,A,A,Mental stress,D,A,A,A,N,A,A,S,S,S,R,Nvr,Mod,5 to 10 hours,School,18 or 19,First year,Woman,MENA,No,Transfer,Health professions,Very conf.,12 to 14 credits,More online,1 to 9 hours,3.75
S179,D,A,A,A,A,D,A,A,A,A,A,Not prepared,A,D,A,N,A,D,SA,VO,S,S,S,R,Ext,11 to 19 hours,School,20 or 21,Third+,Woman,White,No,Associate,Health professions,Very conf.,6 to 8 credits,Equal,20 to 29 hours,3.75
S180,D,SA,A,N,A,A,A,A,A,A,A,Motivation,N,A,A,A,A,D,SA,O,S,O,R,R,Slight,5 to 10 hours,School,18 or 19,First year,Woman,White,Not sure,Associate,Business,Some conf.,12 to 14 credits,All/mostly in-person,1 to 9 hours,4.0
S181,A,A,A,A,D,A,A,SA,N,A,A,Motivation,A,A,A,A,SA,A,A,O,R,S,O,Nvr,Mod,11 to 19 hours,Future,18 or 19,Second year,Man,Latino/Hispanic,No,Transfer,STEM,Very conf.,12 to 14 credits,All/mostly in-person,0 hours,3.75
S182,D,N,N,A,N,D,D,SD,D,N,N,Mental stress,N,N,A,N,A,N,SA,S,S,S,S,Nvr,Ext,under 5 hours,Money,20 or 21,First year,Woman,Latino/Hispanic,No,Undecided,STEM,Not conf.,1 to 5 credits,All/mostly in-person,0 hours,2.5
S183,C,SA,A,A,A,A,A,SA,SA,SA,N,Motivation,A,A,A,A,A,A,SA,VO,S,R,VO,Nvr,Very,5 to 10 hours,Money,,First year,Woman,Latino/Hispanic,No,Transfer,Health professions,Very conf.,9 to 11 credits,All/mostly in-person,1 to 9 hours,4.38
S184,B,A,A,A,A,A,A,A,A,A,A,Mental stress,A,A,A,A,A,N,A,O,S,S,R,Nvr,Slight,5 to 10 hours,School,20 or 21,Third+,Woman,Latino/Hispanic,No,Transfer,Social sciences,Very conf.,6 to 8 credits,Equal,10 to 19 hours,4.0
S185,C,N,A,N,D,N,D,A,N,SA,A,Mental stress,N,N,A,A,A,D,A,S,S,O,R,Nvr,Slight,under 5 hours,Future,18 or 19,First year,Woman,MENA,Yes,Transfer,Social sciences,Unsure,12 to 14 credits,All/mostly in-person,0 hours,3.0
