student_id,sub_sample_group,life_direction_meaning,college_work_resilience,campus_seen_supported,emotionally_steady,hopeful_future,clear_values,life_depth_moments,cheerful_spirits,college_growth,academic_wellbeing,biggest_challenge,school_time_energy,faculty_staff_support,people_to_turn_to,know_support_resources,focus_place,enough_sleep,parent_caregiver_support,enjoyable_company,feels_alone,phone_social_media_interference,physical_activity,alcohol_cannabis_social_coping,money_stress,study_hours_outside_class,life_priority,age_group,college_stage,gender,race_ethnicity,parent_four_year_college,college_goal,major_field,major_confidence,spring_credits,class_modality,paid_work_hours,wellbeing_index
S021,A,A,A,A,A,A,A,A,A,A,A,Family/care,A,A,A,A,A,A,,O,S,S,O,Nvr,No stress,20 or more hours,School,26 or older,First year,Woman,South Asian,No,Transfer,Health professions,Very conf.,12 to 14 credits,More online,1 to 9 hours,4.0
S022,C,D,N,SA,N,N,N,N,D,D,N,Motivation,A,SA,N,A,A,A,SA,,S,O,O,Nvr,No stress,5 to 10 hours,Future,20 or 21,Second year,Man,East Asian,Yes,Associate,Business,Unsure,9 to 11 credits,All/mostly in-person,1 to 9 hours,3.0
S023,C,N,SA,A,N,A,A,SA,N,SA,A,Mental stress,D,SA,N,A,N,SD,A,S,O,VO,O,Nvr,Mod,5 to 10 hours,School,18 or 19,First year,Woman,East Asian,No,Transfer,Health professions,Some conf.,15 or more credits,All/mostly in-person,10 to 19 hours,3.88
S024,B,SA,SA,SA,SA,SA,SA,,SA,SA,SA,Family/care,A,SA,SA,SA,A,A,,VO,Nvr,R,S,Nvr,Ext,20 or more hours,Family,26 or older,Second year,Woman,MENA,No,Transfer,Business,Unsure,9 to 11 credits,More online,0 hours,5.0
S025,B,A,SA,A,SD,D,SD,SD,SD,A,A,Mental stress,A,SA,N,N,A,A,SD,R,VO,R,S,VO,Ext,under 5 hours,Money,20 or 21,Third+,Man,Multiracial,No,Transfer,Health professions,Some conf.,1 to 5 credits,All/mostly in-person,30 or more hours,2.38
S026,B,A,A,N,A,A,A,A,SA,A,A,Motivation,A,N,SA,A,N,D,SA,O,R,VO,O,Nvr,Slight,under 5 hours,Future,20 or 21,Second year,Man,Multiracial,Yes,Transfer,Undecided,Not conf.,12 to 14 credits,All/mostly online,1 to 9 hours,4.0
S027,C,A,A,N,A,A,A,N,A,A,A,Family/care,D,N,A,A,A,A,A,O,O,VO,S,Nvr,Slight,5 to 10 hours,School,18 or 19,First year,Woman,Multiracial,No,Associate,Health professions,Very conf.,15 or more credits,All/mostly in-person,20 to 29 hours,3.75
S028,D,D,A,N,D,SD,A,D,D,A,A,Work,N,SD,SD,D,A,N,D,R,S,R,S,Nvr,Very,under 5 hours,Enjoy life,26 or older,Third+,Woman,Multiracial,No,Transfer,STEM,Not conf.,9 to 11 credits,More online,30 or more hours,2.5
S029,A,A,SA,A,SA,D,SA,D,SA,D,SA,Teaching,SA,SA,SA,SA,SA,N,,R,R,VO,VO,Nvr,No stress,under 5 hours,School,18 or 19,First year,Man,East Asian,Yes,Transfer,STEM,Low conf.,15 or more credits,More in-person,0 hours,4.0
S030,D,A,A,SA,N,A,A,SA,A,SA,SA,Motivation,A,A,A,A,SA,D,N,VO,S,O,S,Nvr,Slight,5 to 10 hours,Friends/relations,18 or 19,First year,Man,Latino/Hispanic,No,Transfer,Health professions,Some conf.,12 to 14 credits,All/mostly in-person,0 hours,4.12
S031,C,A,SA,SA,A,SA,A,SA,A,A,A,Nothing,SA,SA,SA,N,A,SA,SA,VO,R,O,VO,Nvr,Mod,5 to 10 hours,Enjoy life,20 or 21,Second year,Man,White,Yes,Transfer,STEM,Some conf.,15 or more credits,More in-person,0 hours,4.5
S032,C,SA,N,N,D,N,A,A,D,A,SA,Motivation,N,A,A,A,SA,SD,N,O,S,S,R,Nvr,Mod,5 to 10 hours,Money,22 to 25,Third+,Nonbinary,Multiracial,No,Transfer,Social sciences,Very conf.,6 to 8 credits,Equal,20 to 29 hours,3.25
S033,A,A,A,SA,A,A,N,D,A,N,A,Mental stress,A,SA,SA,SA,SA,A,SA,O,S,O,Nvr,VO,Very,5 to 10 hours,School,20 or 21,First year,Woman,White,No,Transfer,Business,Some conf.,15 or more credits,All/mostly in-person,0 hours,3.75
S034,B,A,A,N,A,A,A,N,N,A,A,Teaching,A,A,SA,A,A,N,SA,R,R,S,R,Nvr,Slight,under 5 hours,Mental well-being,26 or older,Second year,Woman,Latino/Hispanic,No,Associate,Health professions,Very conf.,6 to 8 credits,More in-person,30 or more hours,3.62
